COMPLEX_NAME,FACILITY_TYPE,TIER,ADDRESS,ORG,TYP_OF_ORG,STEWARD,OPER,LABEL,WEBSITE,PHONE,NOTES,GYM,GYMNAST_FAC,FITNSS_WGHT,FIT_STUDIO,MULTI_PURP_ROOMS,MEET_ROOMS,INDR_POOL,OUTDR_POOL,FW_25M,FW_50M,FW_18M,LANES_POOL,TEACH_POOL,WAVE_POOL,OTHER_POOL,INDR_WAD_POOL,DIVING_TANK,SPRINGBOARD,PLATFORM,DIVE_SLIDE,PLAY_SLIDE,ROPE_SWING,STEAM,HOT_TUB,SAUNA,CLIMB_WALL,TRACK_INDR,OUTDR_WAD_POOL,SPRAY_PARK,ICE_INDR,STAND_ICE,NHL_ICE,OLYMP_ICE,FIG_SKATING,CURL_RNK,CURL_SHEETS,INDR_SURFACE,INDR_TURF,DRY_PAD,RACQFAC_INDR,SQUASH_CRTS,RAQBALL_CRTS,BADMINT_CRTS,TENNIS_CRT,OUTDR_FIELD,ARTF_TURF_OUTDR,DIAM_FAC_OUTDR,TRACK_OUTDR,PUBLIC_GLF,SEMI_PRIV_GLF,HOLE_18,HOLE_9,DRIVERANG_OUTDR,DRIVERANG_INDR,SKI_NORDICTRCK,MUNICPAL_OP,NOTPROFIT_OP,PROFIT_OP,PRIVATE_OP
Glenmore Aquatic Centre,Aquatic - Flat Water,1,5330 19 ST SW,Recreation,Municipal,Water Resources,Recreation,Glenmore Aquatic Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Glenmore.aspx,311,"25m pool (6 lane), 1m dive tank & 2m slide dive, hot tub, multi-purpose room",0,N,N,0,1,0,Y,N,1,0,0,6,N,N,N,N,Y,Y,N,1,0,N,N,Y,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Bowness Community Centre,Arena,,7904 43 AV NW,CA,Not-for-Profit,Parks,Bowness CA,Bowness Community Centre,https://www.mybowness.com/,403-288-8300,"Ice rink, meeting room, main hall",0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,1,0,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Max Bell Centre,Arena,,1001 BARLOW TR SE,Recreation,Municipal,Recreation,Recreation,Perry Cavanagh Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Max-Bell-Centre.aspx,311,1 ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,1,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Millennium Park,Skate Park,,1220 9 AV SW,Parks,Municipal,Parks,Parks,Millennium Park,https://www.calgary.ca/csps/parks/locations/downtown-parks/shaw-millennium-park.html,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Woodbine Athletic Park,Athletic Park,,96 WOODFIELD DR SW,Recreation,Municipal,Recreation,Recreation,Woodbine Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Woodbine-Athletic-Park.aspx,311,"2 soccer fields, 2 softball diamonds",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,N,N,N,N,N,N,N,N,Y,N,N,N
Killarney Aquatic & Recreation Centre,Aquatic & Recreation Centre,2,1919 29 ST SW,Recreation,Municipal,Recreation,Recreation,Killarney Aquatic & Recreation Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Killarney.aspx,311,"25m pool (6 lane), teach pool, 1m dive tank, hot tub, steam room, fitness/weights, fitness studio, multi-purpose room",0,N,Y,0,1,0,Y,N,1,0,0,6,Y,N,N,N,Y,Y,N,0,0,N,Y,Y,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Rotary Park Spray Park,Spray Park,,617 1 ST NE,Parks,Municipal,Parks,Parks,Rotary Park Spray Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NE-parks/Rotary-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Frank McCool Arena,Arena,,1900 LAKE BONAVISTA DR SE,Recreation,Municipal,Recreation,Recreation,Frank McCool Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Frank-McCool.aspx,311,"185'x85' ice rink (250 seat cap), meeting room",0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Bowview Outdoor Pool & Wading Pool,Outdoor Pool,,1910 6 AV NW,COSPA,Not-for-Profit,Recreation,COSPA,Bowview Outdoor Pool & Wading Pool,https://www.hsca.ca/bowview-swimming-pool,403-221-3571,"25m pool (6 lane), wading pool",0,N,N,0,0,0,N,Y,1,0,0,6,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Ernest Manning Athletic Park,Athletic Park,,20 SPRINGBOROUGH BV SW,Recreation,Municipal,Parks,Recreation,Ernest Manning Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Ernest-Manning-athletic-park.aspx,311,"Artificial turf for football, soccer, field lacrosse, ultimate, field hockey, rugby, special events/tournaments",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,1,N,N,N,N,N,N,N,N,N,Y,N,N,N
Ed Whalen and Joseph Kryczka Arenas,Arena,,2000 SOUTHLAND DR SW,Recreation,Municipal,Recreation,Recreation,Ed Whalen Arena,https://www.calgary.ca/csps/recreation/leisure-centres/southland/arenas-southland-leisure-centre.html,311,"189'x85' ice rink (388 seat cap), pro shop",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Village Square and Wally Kozak Arenas,Arena,,2623 56 ST NE,Recreation,Municipal,Recreation,Recreation,Wally Kozak Arena,https://www.calgary.ca/csps/recreation/leisure-centres/village-square/arenas-village-square-leisure-centre.html,311,185'x85' ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Millican-Ogden Outdoor Pool,Outdoor Pool,,6901 20A ST SE,COSPA,Not-for-Profit,Recreation,COSPA,Millican-Ogden Outdoor Pool,,403-221-3598,25m pool (8 lane),0,N,N,0,0,0,N,Y,1,0,0,8,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Carburn Park,Outdoor Skating Rink,,67 RIVERVIEW DR SE,Parks,Municipal,Parks,Parks,Carburn Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/SE-parks/Carburn-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
West Confederation Park Spray Park,Spray Park,,2020 CHICOUTIMI DR SW,Parks,Municipal,Parks,Parks,West Confederation Park Spray Park,https://www.calgary.ca/csps/parks/locations/nw-parks/west-confederation-park.html,<Null>,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Rose Kohn and Jimmy Condon Arenas,Arena,,502 HERITAGE DR SW,Recreation,Municipal,Recreation,Recreation,Jimmy Condon Arena,https://www.calgary.ca/csps/recreation/arenas/jimmie-condon-arena.html,311,185'x85' ice rink (60 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
New Brighton Athletic Park,Athletic Park,,5801 130 AV SE,Recreation,Municipal,Recreation,Recreation,New Brighton Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Research-and-development/New-Brighton-Regional-Athletic-Park.aspx,311,"4 multi-sport natural turf (2 football/rugby & 2 soccer/lacrosse/ultimate/field hockey), natural turf diamond, regional trail through park & 2 playgrounds",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,N,N,N,N,N,N,N,N,Y,N,N,N
New Brighton Skatepark,Skate Park,,5801 130 AV SE,Parks,Municipal,Recreation,Parks,New Brighton Skatepark,https://www.calgary.ca/csps/recreation/skateparks.html,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,N,N,N
Mount Pleasant Sportsplex,Arena,,2408 6 ST NW,CA,Not-for-Profit,Parks,Mount Pleasant CA,Mount Pleasant Sportsplex,https://www.mpca.ca/index.php?option=com_content&view=article&id=59&Itemid=44,403-282-1314,Ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Big Marlborough Park,Outdoor Skating Rink,,755 MADEIRA DR NE,Parks,Municipal,Parks,Parks,Big Marlborough Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NE-parks/Big-Marlborough-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Sir Winston Churchill Aquatic & Recreation Centre,Aquatic & Recreation Centre,2,1520 NORTHMOUNT DR NW,Recreation,Municipal,Recreation,Recreation,Sir Winston Churchill Aquatic & Recreation Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Sir-Winston-Churchill.aspx,311,"25m pool (6 lane), hot tub, steam room, weight room",0,N,Y,0,0,0,Y,N,1,0,0,6,N,N,N,N,N,N,N,0,0,N,Y,Y,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Silver Springs Outdoor Pool,Outdoor Pool,,5720 SILVER RIDGE DR NW,COSPA,Not-for-Profit,Recreation,Silver Springs CA,Silver Springs Outdoor Pool,https://silverspringscommunity.ca/pool/,403-288-2616,Outdoor pool,0,N,N,0,0,0,N,Y,1,0,0,6,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Brookfield Residential YMCA at Seton,Leisure Centre,,4995 MARKET ST SE,YMCA,Not-for-Profit,Recreation,YMCA Calgary,Brookfield Residential YMCA at Seton,https://www.ymcacalgary.org/program-descriptions/locations/brookfield-residential-ymca-at-seton/,403-351-5262,"50m pool, diving, water park, leisure pool, 2 ice rinks, 3 gyms, fitness centre, fitness/aerobics studios, 200m track",3,N,Y,1,1,1,Y,N,0,1,0,10,N,N,Y,N,N,N,Y,0,0,N,Y,Y,N,N,Y,N,N,Y,0,2,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Wildflower Arts Centre,Art Centre,,3363 SPRUCE DR SW,Recreation,Municipal,Private,Recreation,Wildflower Arts Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Arts-centres/Wildflower.aspx,403-249-3773,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Vivo for Healthier Generations,Leisure Centre,,11950 COUNTRY VILLAGE LI NE,VHGS,Not-for-Profit,Recreation,Vivo for Healthier Generations Society,Vivo for Healthier Generations,https://www.vivo.ca/,403-532-1013,"2 ice rinks, 2 - 25m pools, tots pool, fitness/weights, 3 gyms, badminton, climbing wall, multi-purpose room, steam room, hot tub",3,N,Y,0,0,1,Y,N,1,0,0,2,N,N,N,Y,N,N,N,0,0,N,Y,Y,N,Y,N,N,N,Y,0,2,0,N,N,0,N,0,0,Y,0,0,3,0,Y,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Bowness Skatepark,Skate Park,,4324 77 ST NW,Parks,Municipal,Parks,Parks,Bowness Skatepark,https://www.calgary.ca/csps/recreation/skateparks.html,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Forest Lawn Athletic Park,Athletic Park,,4808 14 AV SE,Recreation,Municipal,Recreation,Recreation,Forest Lawn Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Forest-Lawn-Athletic-Park.aspx,311,Soccer,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Westside Recreation Centre,Leisure Centre,,2000 69 ST SW,Westside Rec.,Not-for-Profit,Recreation,Westside Regional Recreation Society,Westside Recreation Centre,https://www.westsiderec.com/,403-531-5875,"Ice rink, waterslide, lazy river, tot pool, slide, climbing wall, fitness/weights, fitness studio, track, 2 gyms, hot tub, water slide, steam room, wave pool",3,N,Y,5,0,0,Y,N,1,0,0,4,N,Y,N,Y,N,N,N,0,1,N,Y,Y,N,Y,Y,N,N,Y,0,1,0,N,N,0,N,0,0,N,0,0,2,0,Y,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Variety Park Spray Park,Spray Park,,9035 24 ST SW,Parks,Municipal,Water Resources,Parks,Variety Park Spray Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/SW-parks/South-Glenmore-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Prince's Island Lagoon,Outdoor Skating Rink,,25 PRINCE'S ISLAND PARK SW,Parks,Municipal,Parks,Parks,Prince's Island Lagoon,https://www.calgary.ca/CSPS/Parks/Pages/Locations/Downtown-parks/Princes-Island-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Shawnessy YMCA,Leisure Centre,,#400 333 SHAWVILLE BV SE,YMCA,Not-for-Profit,Parks,YMCA Calgary,Shawnessy YMCA,https://www.ymcacalgary.org/program-descriptions/locations/shawnessy/,403-256-5533,"Pool, teach pool, fitness/weights, gym, running track, fitness studio, multi-purpose room, climbing wall, hot tub, steam rooms",1,N,Y,1,1,0,Y,N,1,0,0,6,Y,N,N,N,N,N,N,0,0,N,Y,Y,N,Y,Y,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Fox Hollow Golf Course,Golf Course - Public,,999 32 AV NE,Private,Profit,Parks,Fox Hollow Golf Course,Fox Hollow Golf Course,https://www.foxhollowcalgary.com/,403-277-4653,"18 hole, indoor driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,Y,N,N,Y,N,N,Y,N,Y
Shouldice Aquatic Centre,Aquatic - Flat Water,1,5303 BOWNESS RD NW,Recreation,Municipal,Recreation,Recreation,Shouldice Aquatic Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Shouldice.aspx,311,"25m pool (6 lane), 1.5m slide, 1m & 3m dive, steam room",0,N,N,0,0,0,Y,N,1,0,0,6,N,N,N,N,Y,Y,N,1,0,N,Y,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Max Bell Centre,Arena,,1001 BARLOW TR SE,Recreation,Municipal,Recreation,Recreation,Ken Bracko Arena,https://www.calgary.ca/csps/recreation/arenas/ken-bracko-arena/facility-features---ken-bracko-arena.html,311,"1 ice rink (2121 seat cap), 3 meeting rooms",0,N,N,0,0,3,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,Y,N,N,Y,0,0,1,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Father David Bauer and Norma Bush Arenas,Arena,,2424 UNIVERSITY DR NW,Recreation,Municipal,Recreation,Recreation,Father David Bauer Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Father-David-Bauer-and-Norma-Bush.aspx,311,"200'x100' ice rink (1750 seat cap), meeting room",0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,0,1,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
N.E. Community Skatepark,Skate Park,,7556 FALCONRIDGE BV NE,Parks,Municipal,Recreation,Parks,N.E. Community Skatepark,https://www.calgary.ca/csps/recreation/skateparks.html,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Genesis Artificial Turf,Artificial Turf,,7556 FALCONRIDGE BV NE,Genesis,Not-for-Profit,Recreation,North East Centre of Community Society,Genesis Artificial Turf,https://genesis-centre.ca/sport_venue/,403-590-2833,artificial turf,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,1,N,N,N,N,N,N,N,N,N,N,Y,N,N
